sensor_type,device_type,label,label_start,label_start_datetime,label_end,label_end_datetime
interval_label,smartphone,Easy,1748973519.21997,03/06/2025 19:58:39,1748973554.43369,03/06/2025 19:59:14
interval_label,smartphone,Easy,1748975035.48371,03/06/2025 20:23:55,1748975065.37794,03/06/2025 20:24:25
interval_label,smartphone,Medium,1748974943.64688,03/06/2025 20:22:23,1748974977.30448,03/06/2025 20:22:57
interval_label,smartphone,Easy,1.75E+09,09/06/2025 13:50:26,1.75E+09,09/06/2025 13:51:03
interval_label,smartphone,Easy,1.75E+09,09/06/2025 13:51:45,1.75E+09,09/06/2025 13:52:26
interval_label,smartphone,Hard,1.75E+09,09/06/2025 13:11:14,1.75E+09,09/06/2025 13:12:25
interval_label,smartphone,Hard,1.75E+09,09/06/2025 13:15:19,1.75E+09,09/06/2025 13:16:05
interval_label,smartphone,Hard,1.75E+09,09/06/2025 13:25:06,1.75E+09,09/06/2025 13:26:20
interval_label,smartphone,Hard,1.75E+09,09/06/2025 13:45:43,1.75E+09,09/06/2025 13:46:25
interval_label,smartphone,Hard,1.75E+09,09/06/2025 13:47:24,1.75E+09,09/06/2025 13:48:09
interval_label,smartphone,Medium,1.75E+09,09/06/2025 13:08:30,1.75E+09,09/06/2025 13:09:40
interval_label,smartphone,Medium,1.75E+09,09/06/2025 13:31:32,1.75E+09,09/06/2025 13:32:27
interval_label,smartphone,Medium,1.75E+09,09/06/2025 13:40:06,1.75E+09,09/06/2025 13:41:10
interval_label,smartphone,Medium,1.75E+09,09/06/2025 13:42:17,1.75E+09,09/06/2025 13:42:59
